id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
20842,20894,28319,1412,,78The2Tau,Chamukuy,4.477705,15.870883,46.1042,108.66,-26.39,40,3.4,0.081,A7III,0.179,17.209733,40.871602,12.608233,-0.00000649,0.00004718,0.00000551,1.17226044648727,0.276999156504612,0.0000005267985453,-0.00000012794233,The-2,78,Tau,1,20842,,80.8351037390067,The-2,3.411,3.391
21057,21109,28678,,,,Hoggar,4.523737,4.575287,226.7574,0.22,-12.85,0,8.38,1.602,K0,1.008,85.200384,209.362436,18.088209,0.0000002,0.00000113,-0.00001408,1.18431157133266,0.0798538288876263,0.0000000010665901,-0.000000062298557,,,Tau,1,21057,,19.9159028905761,,,
21340,21393,29291,1464,,52Ups2Eri,Theemin,4.592512,-30.562341,65.5738,-48.92,-12.75,-4,3.81,-0.274,G8III,0.957,20.338212,52.67393,-33.342657,0.0000125,-0.00001081,-0.00000141,1.20231682375504,-0.53341348487026,-0.0000002371708525,-0.000000061813744,Ups-2,52,Eri,1,21340,,112.098551287531,,,
21368,21421,29139,1457,Gl 171.1A,87Alp Tau,Aldebaran,4.598677,16.509301,20.4332,62.78,-189.36,54.5,0.87,-0.682,K5III,1.538,7.02722,18.287604,5.806661,0.00001528,0.00005709,-0.00000214,1.20393081120275,0.288141666122131,0.0000003043660287,-0.000000918043185,Alp,87,Tau,1,21368,Gl 171.1,163.2300072819,Alp,0.888,0.858
21541,21594,29503,1481,GJ 9160A,53    Eri,Sceptrum,4.63634,-14.30402,33.6814,-77.86,-178.06,41.8,3.86,1.223,K1III,1.082,11.405856,30.579706,-8.321655,0.00002388,0.00002764,-0.00003873,1.2137910800856,-0.249652240518341,-0.0000003774759317,-0.000000863259239,,53,Eri,1,21541,GJ 9160,28.235793691103,,,
22396,22449,30652,1543,Gl 178,1Pi 3Ori,Tabit,4.830669,6.961276,8.0684,463.44,11.62,24.4,3.19,3.656,F6V,0.484,2.413721,7.63677,0.977904,-0.00000983,0.00002903,0.00000348,1.26466619667956,0.121497179934304,0.0000022468205212,0.000000056335349,Pi-3,1,Ori,1,22396,,3.00330887867656,,,
22438,22491,30856,,,,Mouhoun,4.838295,-24.368839,118.0638,18.86,-18.12,0,7.91,2.549,K0III,0.961,32.206232,102.609681,-48.714197,-0.00001158,-0.00000085,-0.00000945,1.26666258506378,-0.425316481672082,0.0000000914358602,-0.000000087848238,,,Eri,1,22438,,8.32530206749242,,,
22961,23015,31398,1577,,3Iot Aur,Hassaleh,4.949894,33.16609,151.2859,3.63,-18.54,18,2.69,-3.209,K3IIvar,1.49,34.378539,121.884168,82.763748,0.00000364,0.00002271,-0.00000131,1.29587921098895,0.57885747451101,0.0000000175987366,-0.000000089884456,Iot,3,Aur,1,22961,,1673.40090683931,,,
23361,23416,31964,1605,,7Eps Aur,Almaaz,5.032815,43.823308,653.5948,0.18,-2.31,-3,3.03,-6.047,F0Ia,0.537,118.129799,456.518488,452.57303,0.00000016,0.00000291,-0.00000741,1.31758789163582,0.764861019007035,8.726646E-10,-0.000000011199196,Eps,7,Aur,1,23361,,22845.4648855182,Eps,3.085,2.935
23398,23453,32068,1612,,8Zet Aur,Saclateni,5.041301,41.075837,240.9639,8.88,-21.43,13,3.69,-3.22,K4II comp,1.154,45.114162,175.957014,158.327189,-0.00000347,0.00002822,-0.00001013,1.31980963070023,0.716908604913754,0.0000000430514548,-0.000000103895571,Zet,8,Aur,1,23398,,1690.44093164326,Zet,3.716,3.676
23712,23767,32630,1641,,10Eta Aur,Haedus,5.10858,41.234474,74.6269,30.6,-68.41,7,3.18,-1.184,B3V,-0.148,12.978524,54.599524,49.18977,-0.00000575,0.00002367,-0.00001389,1.33742303308863,0.719677342965918,0.0000001483529863,-0.000000331661038,Eta,10,Aur,1,23712,,259.179113461595,,,
23820,23875,33111,1666,GJ 9175,67Bet Eri,Cursa,5.130829,-5.086446,27.3973,-83.39,-75.44,-9.2,2.78,0.591,A3IIIvar,0.161,6.156194,26.585876,-2.429001,0.00000848,-0.00001249,-0.00000915,1.34324795349638,-0.0887752322551,-0.0000004042861282,-0.00000036574344,Bet,67,Eri,1,23820,,50.5358994753168,,,
23949,24003,32518,1636,,,Mago,5.160181,69.639401,120.6273,60.42,-63.55,-8,6.43,1.023,K1III,1.101,9.153224,40.959237,113.090617,-0.0000275,0.00003893,-0.0000206,1.35093234208873,1.21543683913294,0.0000002929244258,-0.000000308099093,,,Cam,1,23949,,33.9468905380079,,,
24129,24186,33793,,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,6506.05,-5731.39,245.5,8.86,10.898,M0V,1.543,0.578997,2.705174,-2.76822,-0.00009951,0.0001243,-0.00025439,1.35983023942906,-0.785719603424544,0.0000315422204638,-0.000027786562805,,,Pic,1,24129,,0.00380890376498135,VZ,9.148,8.828
24378,24436,34085,1713,,19Bet Ori,Rigel,5.242298,-8.20164,264.5503,1.87,-0.56,21,0.18,-6.933,B8Ia,-0.03,51.601106,256.709905,-37.740051,0.00000182,0.00002121,-0.00000377,1.37243036932764,-0.143145630755865,0.0000000090660158,-0.000000002714956,Bet,19,Ori,1,24378,,51665.424256695,,,
24549,24608,34029,1708,Gl 194A,13Alp Aur,Capella,5.27815,45.997991,13.1234,75.52,-427.13,22.2,0.08,-0.51,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.3818164126488,0.802816392634111,0.0000003661312916,-0.000002070784673,Alp,13,Aur,1,24549,Gl 194,139.31568029453,,,
25273,25336,35468,1790,,24Gam Ori,Bellatrix,5.418851,6.349702,77.3994,-8.75,-13.28,18,1.64,-2.804,B2III,-0.224,11.658576,76.036136,8.56012,0.0000061,0.00001813,-0.00000292,1.41865183381453,0.11082320964651,-0.000000042421197,-0.000000064383256,Gam,24,Ori,1,25273,,1152.39137719949,,,
25364,25428,35497,1791,,112Bet Tau,Elnath,5.438198,28.60745,41.0509,23.28,-174.22,9,1.65,-1.417,B7III,-0.13,5.281578,35.6504,19.655456,-0.00000097,0.00002509,-0.00002603,1.42371680856547,0.499294192379052,0.0000001128646248,-0.000000844642394,Bet,112,Tau,1,25364,,321.218093398799,,,
25542,25606,36079,1829,,9Bet Lep,Nihal,5.470756,-20.759441,49.1642,-5.03,-85.92,-14,2.81,-0.648,G5II,0.807,6.349344,45.531613,-17.425966,-0.00000166,-0.00002061,-0.00001407,1.43224069862138,-0.362320594829247,-0.0000000243861281,-0.000000416551914,Bet,9,Lep,1,25542,,158.197639860115,,,
25865,25930,36486,1852,,34Del Ori,Mintaka,5.533445,-0.299092,212.3142,1.67,0.56,16,2.25,-4.385,O9.5II,-0.175,25.868117,210.729667,-1.108306,0.00000029,0.00001645,0.00000049,1.4486524168434,-0.005220140244135,0.0000000080963885,0.000000002714956,Del,34,Ori,1,25865,,4943.10686986835,Del,2.334,2.234
25920,25985,36673,1865,,11Alp Lep,Arneb,5.545504,-17.822289,680.2721,3.27,1.54,24,2.58,-6.583,F0Ib,0.211,76.877195,643.047236,-208.208,-0.00000775,0.00002603,-0.00000268,1.45180965171731,-0.311057614671362,0.0000000158534074,0.00000000746613,Alp,11,Lep,1,25920,,37428.2912240805,,,
26142,26207,36861,1879,,39Lam Ori,Meissa,5.585633,9.934158,336.7003,-1.03,-1.86,34,3.39,-4.246,O...,-0.16,35.907504,329.702779,58.086365,0.00000544,0.00003439,0.00000301,1.46231517330617,0.173383772096578,-0.0000000049935809,-0.000000009017534,Lam,39,Ori,1,26142,,4349.10607232454,,,
26176,26241,37043,1899,,44Iot Ori,Hatysa,5.590551,-5.909901,714.2857,2.27,-0.62,22,2.75,-6.519,O9III,-0.21,76.014147,706.411475,-73.54604,-0.00000544,0.00002287,-0.00000445,1.46360274229612,-0.103147236301135,0.0000000110052705,-0.000000003005844,Iot,44,Ori,1,26176,,35285.8025828527,,,
26246,26311,37128,1903,,46Eps Ori,Alnilam,5.603559,-1.20192,606.0606,1.49,-1.06,26,1.69,-7.223,B0Ia,-0.184,62.775122,602.66691,-12.712683,-0.00000161,0.00002683,-0.00000367,1.46700838720758,-0.0209774579664687,0.0000000072237238,-0.000000005139025,Eps,46,Ori,1,26246,,67483.8730870757,Eps,1.717,1.667
26315,26380,38283,,,,Bubup,5.617169,-73.699343,38.3142,138.79,-107.29,0,6.69,3.773,WN...,0.584,1.075847,10.699992,-36.774049,-0.00002756,-0.00001645,-0.00000559,1.47057147863794,-1.28629618637022,0.0000006728729072,-0.000000520156597,,,Men,1,26315,,2.69649736354342,,,
26386,26451,37202,1910,,123Zet Tau,Tianguan,5.627413,21.142549,136.4256,2.39,-18.04,20,2.97,-2.704,B4IIIp,-0.148,12.391949,126.637551,49.207351,0.0000007,0.00002342,-0.00000375,1.47325319138666,0.369007093721614,0.000000011587047,-0.000000087460387,Zet,123,Tau,1,26386,,1050.99342718622,Zet,3.032,2.902
26569,26634,37795,1956,,Alp Col,Phact,5.660817,-34.074108,80.1282,-0.1,-24.05,35,2.65,-1.869,B7IV,-0.12,5.885917,66.110037,-44.89318,0.0000022,0.00002432,-0.00002779,1.48199832675788,-0.594705371229787,-4.848137E-10,-0.00000011659769,Alp,,Col,1,26569,,487.079666492537,,,
26662,26727,37742,1948,,50Zet Ori,Alnitak,5.679313,-1.942572,225.7336,3.99,2.54,18,1.74,-5.028,O9.5Ib SB,-0.199,18.918488,224.809409,-7.651875,-0.0000028,0.00001879,0.00000215,1.48684068726058,-0.0339042812501637,0.0000000193440659,0.000000012314267,Zet,50,Ori,1,26662,,8937.16960850198,,,
27298,27366,38771,2004,,53Kap Ori,Saiph,5.795941,-9.669605,198.4127,1.55,-1.2,21,2.07,-4.418,B0.5Iavar,-0.168,10.444137,195.314937,-33.326707,-0.00000037,0.00002103,-0.00000475,1.51737389275286,-0.168766439905435,0.000000007514612,-0.000000005817764,Kap,53,Ori,1,27298,,5095.65480608115,,,
27559,27628,39425,2040,,Bet Col,Wazn,5.849329,-35.768309,26.7308,55.74,404.68,89,3.12,0.985,K1.5III,1.146,0.855327,21.672805,-15.624858,-0.0000031,0.00010471,-0.00001066,1.53135081455752,-0.624274752989982,0.0000002702351455,0.000001961944002,Bet,,Col,1,27559,,35.1560440528298,,,
27919,27989,39801,2061,,58Alp Ori,Betelgeuse,5.919529,7.407063,152.6718,27.33,10.86,21,0.45,-5.469,M2Ib,1.5,3.189296,151.364387,19.682142,-0.0000198,0.00002068,0.00001074,1.54972911837132,0.129277631694194,0.0000001324995789,0.000000052650765,Alp,58,Ori,1,27919,,13415.2879826613,Alp,0.571,0.281
28288,28360,40183,2088,GJ 3375,34Bet Aur,Menkalinan,5.992149,44.947433,24.8694,-56.41,-0.88,-19.4,1.9,-0.078,A2V,0.077,0.036195,17.601288,17.569058,0.00000677,-0.00001398,-0.00001409,1.56874094502027,0.78448069066935,-0.0000002734833972,-0.00000000426636,Bet,34,Aur,1,28288,,93.583654358353,Bet,1.967,1.897
28309,28380,40312,2095,,37The Aur,Mahasim,5.995351,37.212585,50.7614,42.09,-73.61,30,2.65,-0.878,A0p Si,-0.083,0.049188,40.426416,30.69934,-0.00001031,0.0000354,0.00000413,1.56957915350818,0.649482133375687,0.0000002040580781,-0.00000035687135,The,37,Aur,1,28309,,195.523966962089,The,2.66,2.63
28962,29034,42167,2177,,The Col,Elkurud,6.125453,-37.25292,221.2389,0.9,0.3,45,5,-1.724,B8:IV,-0.095,-5.782732,176.005131,-133.923795,-0.00000217,0.00003678,-0.0000276,1.60363997517908,-0.650186116273641,0.0000000043633231,0.000000001454441,The,,Col,1,28962,,426.18680542416,,,
29477,29550,43197,,,,Amadioha,6.226569,-29.897269,56.3063,148.18,13.97,0,8.98,5.227,G8/K0IV/V,0.817,-2.893727,48.727238,-28.065674,-0.00004049,-0.0000005,0.00000331,1.63011193997298,-0.521805785375879,0.0000007183969118,0.000000067728471,,,CMa,1,29477,,0.706642900425207,,,
29582,29655,42995,2216,,7Eta Gem,Propus,6.247961,22.506799,117.9245,-62.53,-10.24,19,3.31,-2.048,M3III,1.6,-7.067151,108.713368,45.140745,0.00003436,0.00002247,0.00000203,1.63571240640255,0.39281774360695,-0.0000003031539945,-0.00000004964492,Eta,7,Gem,1,29582,,574.380913496318,Eta,3.446,3.216
30016,30089,44179,,,,Red Rectangle,6.332838,-10.637414,440.5286,-10.98,-21.1,0,8.85,0.63,B8,0.344,-37.678828,431.31548,-81.318571,0.00002408,-0.00000625,-0.00004429,1.65793305721526,-0.185657901087253,-0.0000000532325421,-0.000000102295686,,,Mon,1,30016,,48.7528490103386,V777,8.897,8.767
30049,30122,44402,2282,,1Zet CMa,Furud,6.338553,-30.063367,111.1111,8,3.81,32,3.02,-2.209,B2.5V,-0.16,-8.512138,95.786306,-55.662081,-0.00000689,0.00002886,-0.00001462,1.65942936536958,-0.524704742375241,0.0000000387850944,0.000000018471401,Zet,1,CMa,1,30049,,666.192900223455,,,
30251,30324,44743,2294,,2Bet CMa,Mirzam,6.378329,-17.955918,151.0574,-3.45,-0.47,34,1.98,-3.916,B1II/III,-0.24,-14.209731,142.995999,-46.568852,-0.00000075,0.00003306,-0.00001105,1.66984269564687,-0.31338988393796,-0.000000016726072,-0.000000002278624,Bet,2,CMa,1,30251,,3209.22376804844,Bet,1.999,1.969
30270,30343,44478,2286,,13Mu  Gem,Tejat,6.382673,22.513586,71.0227,56.84,-108.79,55,2.87,-1.387,M3IIIvar,1.621,-6.562116,65.281443,27.194957,-0.0000261,0.00006402,-0.00001306,1.67097998922084,0.392936198997974,0.000000275568096,-0.000000527428803,Mu,13,Gem,1,30270,,312.464008580611,Mu,2.946,2.826
30365,30438,45348,2326,,Alp Car,Canopus,6.399195,-52.69566,94.7867,19.99,23.67,21,-0.62,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-0.0000114,0.00002059,-0.00001049,1.67530535199973,-0.919712774890268,0.0000000969142547,0.000000114755398,Alp,,Car,1,30365,,13854.7916756672,,-0.547,-0.667
30788,30860,45350,,,,Lucilinburhuc,6.479366,38.962963,48.8759,-43.8,-53.45,0,7.89,4.445,G5,0.74,-4.756834,37.704707,30.734041,0.0000093,0.0000092,-0.00000985,1.69629404795157,0.68003199058702,-0.0000002123483921,-0.000000259132912,,,Aur,1,30788,,1.45211161758774,,,
30832,30905,45652,,,,Lusitânia,6.486997,10.933891,34.3525,206.14,-62.69,0,8.1,5.42,K5,0.846,-4.288647,33.455125,6.515853,-0.0000343,-0.0000024,-0.00001025,1.69829185670556,0.19083240461516,0.0000009993949211,-0.000000303929696,,,Mon,1,30832,,0.591561634175474,,8.169,8.059
30847,30920,,,Gl 234A,,Ross 614,6.489833,-2.813979,4.1268,694.73,-618.62,16.7,11.12,13.042,M4.5Ve,1.69,-0.527146,4.088126,-0.202607,-0.00001589,0.00001454,-0.0000132,1.69903441727823,-0.0491131976009125,0.0000033681460829,-0.00000299915439,,,Mon,1,30847,Gl 234,0.0005286886658509,V577,11.176,11.066
31601,31681,47105,2421,,24Gam Gem,Alhena,6.628528,16.399252,33.5121,-2.04,-66.92,-13,1.93,-0.696,A0IV,0.001,-5.266162,31.714389,9.461403,0.00000191,-0.0000095,-0.00001418,1.73534459346076,0.286220944173494,-0.0000000098901991,-0.000000324437315,Gam,24,Gem,1,31601,,165.348401217115,,,
31812,31895,48265,,,,Nosaxa,6.667144,-48.541955,85.3971,26.51,30.06,0,8.05,3.393,G5IV/V,0.747,-9.824884,55.678794,-64.000065,-0.00001243,0.00000728,0.00000824,1.74545426358593,-0.84721694181882,0.0000001285241067,0.000000145734992,,,Pup,1,31812,,3.82648486595109,,,
32161,32246,48329,2473,,27Eps Gem,Mebsuta,6.732202,25.131124,259.0674,-5.93,-12.81,10,3.06,-4.007,A3mA6-A9,1.377,-44.684834,230.247724,110.023705,0.00000425,0.00001722,-0.00001022,1.7624862964423,0.43862086058447,-0.0000000287494513,-0.000000062104632,Eps,27,Gem,1,32161,,3489.79567437874,,,
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.7677953696022,-0.291751258517685,-0.0000026471311772,-0.000005929659164,Alp,9,CMa,1,32263,Gl 244,22.824433121735,,-1.333,-1.523
32276,32362,48737,2484,Gl 242,31Xi  Gem,Alzirr,6.754824,12.895591,17.9986,-115.16,-190.91,30,3.35,2.074,F5IV,0.443,-3.444569,17.203451,4.0169,0.00000325,0.00003494,-0.00000939,1.76840878277495,0.225070523369276,-0.0000005583114345,-0.000000925557797,Xi,31,Gem,1,32276,,12.8943661995987,,,
32829,32916,49674,,,,Nervia,6.858475,40.867756,44.2282,34.96,-122.85,0,8.1,4.872,G0,0.729,-7.453896,32.605159,28.93919,-0.00001115,0.00001513,-0.00001992,1.79554453904505,0.713276905555947,0.0000001694908627,-0.000000595593606,,,Aur,1,32829,,0.979941161095594,,,
33492,33579,52089,2618,,21Eps CMa,Adhara,6.977097,-28.972084,124.2236,2.63,2.29,27,1.5,-3.971,B2II,-0.211,-27.497987,105.141608,-60.171969,-0.00000781,0.00002362,-0.00001217,1.82659964856775,-0.505658251855461,0.0000000127505998,0.000000011102233,Eps,21,CMa,1,33492,,3375.98104855425,,,
33632,33719,52265,2622,,,Citalá,7.00501,-5.367162,28.9603,-115.76,80.35,54,6.29,3.981,G0III-IV,0.572,-7.499264,27.84151,-2.708925,0.00000112,0.00005834,0.00000606,1.83390736732223,-0.09367464645682,-0.0000005612203166,0.000000389547792,,,Mon,1,33632,,2.22638362955291,,,
33769,33856,52877,2646,,22Sig CMa,Nganurganity,7.028652,-27.93483,343.6426,-6.01,4.64,22,3.49,-4.191,K4III,1.729,-80.775471,292.659236,-160.9853,0.0000034,0.00002532,-0.00000371,1.84009686004861,-0.487554765165652,-0.0000000291373022,0.000000022495354,Sig,22,CMa,1,33769,,4134.28108047135,Sig,3.546,3.446
33956,34045,53244,2657,,23Gam CMa,Muliphein,7.062637,-15.633286,135.5014,-0.81,-11.2,32,4.11,-1.55,B8II,-0.112,-35.835279,125.471916,-36.514903,-0.0000076,0.00002854,-0.0000159,1.84899400363883,-0.272852312117405,-0.0000000039269908,-0.000000054299132,Gam,23,CMa,1,33956,,363.078054770101,,,
34000,34088,52973,2650,,43Zet Gem,Mekbuda,7.068481,20.570297,421.9409,-5.72,-0.96,7,4.01,-4.116,G3Ibv SB,0.899,-109.067807,379.683873,148.25163,0.0000092,0.00001034,0.00000068,1.85052402835075,0.359019411275654,-0.0000000277313425,-0.000000004654211,Zet,43,Gem,1,34000,,3858.33559905351,Zet,4.172,3.702
34354,34444,54605,2693,,25Del CMa,Wezen,7.139857,-26.3932,492.6108,-2.75,3.33,34,1.83,-6.633,F8Ia,0.671,-129.733458,421.761488,-218.979855,-0.00000392,0.00003508,-0.00000833,1.86921013234171,-0.460648233737419,-0.0000000133323762,0.000000016144295,Del,25,CMa,1,34354,,39192.2322454977,,,
35453,35550,56986,2777,Gl 271A,55Del Gem,Wasat,7.335383,21.98232,18.5391,-18.72,-7.76,-15.3,3.5,2.16,F0IV...,0.374,-5.888392,16.151258,6.939513,0.00000646,-0.00001281,-0.0000065,1.92039874587519,0.383663869811516,-0.000000090757121,-0.000000037621541,Del,55,Gem,1,35453,Gl 271,11.9124200802737,,,
35806,35904,58350,2827,,31Eta CMa,Aludra,7.401584,-29.303104,609.7561,-3.76,6.66,41,2.45,-6.476,B5Ia,-0.083,-190.762166,496.337122,-298.432917,-0.0000062,0.00004711,-0.00000336,1.9377301884963,-0.511435637474829,-0.0000000182289944,0.000000032288591,Eta,31,CMa,1,35806,,33915.6386905822,Eta,2.509,2.409
36087,36188,58715,2845,,3Bet CMi,Gomeisa,7.452512,8.289315,49.5786,-50.28,-38.45,22,2.89,-0.586,B8Vvar,-0.097,-18.209817,45.556204,7.147858,0.00000246,0.0000264,-0.0000059,1.95106305906221,0.144675846904975,-0.0000002437643186,-0.00000018641086,Bet,3,CMi,1,36087,,149.41699574067,Bet,2.896,2.876
36107,36208,,,Gl 273,,Luyten's Star,7.456805,5.225785,3.8026,571.27,-3694.25,18.2,9.84,11.94,M5,1.573,-1.409549,3.514856,0.346358,-0.00001899,0.00001905,-0.00006612,1.95218696195724,0.0912071574928113,0.0000027695951129,-0.000017910229393,,,CMi,1,36107,,0.00145881426027535,,,
36744,36850,60179,2891,Gl 278A,66Alp Gem,Castor,7.576634,31.888276,15.5958,-206.33,-148.18,6,1.58,0.615,A2Vm,0.034,-5.311938,12.130011,8.238737,0.00000983,0.00001645,-0.00000627,1.98355827023441,0.556555413027029,-0.0000010003160671,-0.000000718396911,Alp,66,Gem,1,36744,Gl 278,49.4310686986835,,,
37159,37265,61110,2930,,71Omi Gem,Jishui,7.65276,34.584346,50.9944,-35.97,-118.03,7,4.89,1.352,F3III,0.413,-17.604251,38.11415,28.945417,-0.00000134,0.00002411,-0.00001996,2.00348783610954,0.603610706026114,-0.0000001743874809,-0.000000572225587,Omi,71,Gem,1,37159,,25.0726362477712,,,
